"","name_bore","DateSampled","ph","YearSampled"
"1","Briar",2024-10-03,6.65,2024
"2","Broad Meadow Dry",2024-10-10,6.05,2024
"3","Bull",2025-01-01,5.7,2025
"4","Drainage",2024-10-03,6.02,2024
"5","GP1A",2025-01-01,6,2025
"6","GP1B",2023-01-01,5.4,2023
"7","GP2A",2023-01-01,5.4,2023
"8","GP2B",2024-10-11,6.3,2024
"9","GP3",2025-01-01,6.7,2025
"10","GP4C",2024-10-11,6.57,2024
"11","GP5D",2024-10-15,6.26,2024
"12","GP6A",2025-01-01,6.1,2025
"13","GP6C",2024-10-15,6.68,2024
"14","GP7",2025-01-01,6.4,2025
"15","GP8B",2024-10-16,6.33,2024
"16","Home",2024-10-22,6.4,2024
"17","Horse",2024-10-22,6.2,2024
"18","Jimmy's",2025-01-01,6.9,2025
"19","Lamson Hill",2023-01-01,6.4,2023
"20","Lamson Middle",2025-01-01,6.9,2025
"21","Lamson North",2025-01-01,6.8,2025
"22","Laundry Field",2022-11-22,4.92,2022
"23","Leo's",2023-01-01,6.7,2023
"24","Liatris",2022-11-22,4.87,2022
"25","Lower Barberry",2023-01-01,5.6,2023
"26","Lower Sunset",2024-10-22,5.96,2024
"27","POW East",2025-01-01,6.7,2025
"28","POW West",2025-01-01,6.1,2025
"29","Patch 1",2024-10-22,6.62,2024
"30","Patch 2",2024-10-22,6.57,2024
"31","Patch 4",2024-10-22,6.41,2024
"32","Plains",2023-01-01,6.7,2023
"33","Plains ",2024-10-02,6.95,2024
"34","Playground",2025-01-01,7,2025
"35","Railroad",2024-10-22,6.41,2024
"36","Sunset Field",2024-10-22,5.79,2024
"37","Sunset Hill ",2023-01-01,5.9,2023
"38","Underhill East",2024-10-10,6.8,2024
"39","Underhill West",2024-10-10,6.6,2024
"40","Underhill Wet Meadow",2024-10-17,5.72,2024
"41","Underhill Willows",2023-01-01,6.2,2023
"42","Upper Triangle",2025-01-01,6.6,2025
"43","White Cottage",2025-01-01,6.9,2025
"44","Williams 1A",2023-01-01,6.6,2023
"45","Williams West",2024-10-18,6.07,2024
"46","Wilson",2024-10-18,5.59,2024
