"","name_bore","mf_rose","glossy_buckthorn","asiatic_bittersweet","purple_loosestrife","wild_chervil","rcg"
"1","Barberry Woods","yes","no","yes","yes","yes","yes"
"2","Briar","yes","no","no","yes","yes","yes"
"3","Broad Meadow","yes","yes","no","yes","yes","yes"
"4","Bull","yes","yes","yes","yes","yes","yes"
"5","Crabby","","","","","",""
"6","Drainage","yes","yes","yes","yes","yes","yes"
"7","Flush","","","","","",""
"8","GP Woods","","","","","",""
"9","GP1A","yes","no","yes","yes","yes","no"
"10","GP1B","yes","yes","yes","yes","no","yes"
"11","GP2A","yes","yes","yes","yes","no","yes"
"12","GP2B","yes","yes","yes","yes","yes","no"
"13","GP3","yes","yes","yes","yes","yes","no"
"14","GP4A","no","yes","yes","no","no","no"
"15","GP4B","yes","no","yes","yes","no","no"
"16","GP4C","yes","yes","yes","no","no","no"
"17","GP5A","yes","no","no","yes","yes","yes"
"18","GP5B","yes","yes","yes","yes","no","no"
"19","GP5C","no","yes","no","yes","no","yes"
"20","GP5D","yes","yes","yes","yes","no","no"
"21","GP6A","yes","no","yes","no","no","yes"
"22","GP6B","yes","yes","no","yes","no","yes"
"23","GP6C","yes","no","yes","yes","yes","yes"
"24","GP7","yes","yes","yes","yes","yes","yes"
"25","GP7A","yes","yes","yes","no","yes","no"
"26","GP8A","yes","yes","no","yes","yes","no"
"27","GP8B","yes","yes","yes","no","no","yes"
"28","GP8C","yes","yes","yes","yes","yes","yes"
"29","Horse","yes","yes","yes","yes","yes","yes"
"30","Jimmy's","","","","","",""
"31","Jimmy's Wet Meadow","yes","yes","yes","no","yes","yes"
"32","Lamson Hill","no","no","no","yes","no","yes"
"33","Lamson Middle","yes","no","yes","yes","no","yes"
"34","Lamson North","no","no","no","no","no","yes"
"35","Leo's","yes","no","yes","no","yes","yes"
"36","Long Causeway","no","no","no","yes","no","yes"
"37","Long Meadow","yes","yes","yes","yes","no","yes"
"38","Lower Barberry","yes","yes","yes","yes","no","yes"
"39","Lower Home","","","","","",""
"40","Lower Sunset","","","","","",""
"41","Lower Triangle","yes","no","yes","yes","no","yes"
"42","Lower Underhill","yes","yes","yes","yes","yes","yes"
"43","Plains","no","no","no","no","yes","yes"
"44","Plains Woods North","yes","yes","yes","yes","yes","yes"
"45","Playground","yes","no","yes","no","yes","yes"
"46","Playground Pond","yes","yes","yes","yes","yes","yes"
"47","Pond","yes","no","yes","yes","yes","yes"
"48","POW East","","","","","",""
"49","POW West","yes","no","yes","no","yes","no"
"50","Railroad","","","","","",""
"51","Sunset Field","yes","","yes","no","no","no"
"52","Sunset Hill ","yes","no","no","yes","yes","yes"
"53","Underhill","yes","yes","yes","yes","yes","yes"
"54","Underhill Wet Meadow","yes","no","yes","yes","no","yes"
"55","Upper Home","","","","","",""
"56","Upper Triangle","yes","yes","yes","yes","yes","yes"
"57","White Cottage","","","","","",""
"58","Williams 1A","yes","no","yes","yes","no","yes"
"59","Williams Central","yes","yes","no","yes","no","yes"
"60","Williams West","yes","no","yes","no","yes","yes"
"61","Wilson","yes","no","yes","yes","yes","yes"
