Field,Multiflora rose,glossy buckthorn,asiatic bittersweet,purple loosestrife,wild chervil,reed canary grass,
Barberry Woods,yes,no,yes,yes,yes,yes,
Briar,yes,no,no,yes,yes,yes,
Broad Meadow,yes,yes,no,yes,yes,yes,
Bull,yes,yes,yes,yes,yes,yes,
Crabby,,,,,,,
Drainage,yes,yes,yes,yes,yes,yes,
Flush,,,,,,,
GP Woods,,,,,,,
GP1A,yes,no,yes,yes,yes,no,
GP1B,yes,yes,yes,yes,no,yes,
GP2A,yes,yes,yes,yes,no,yes,
GP2B,yes,yes,yes,yes,yes,no,
GP3,yes,yes,yes,yes,yes,no,
GP4A,no,yes,yes,no,no,no,
GP4B,yes,no,yes,yes,no,no,
GP4C,yes,yes,yes,no,no,no,
GP5A,yes,no,no,yes,yes,yes,
GP5B,yes,yes,yes,yes,no,no,
GP5C,no,yes,no,yes,no,yes,
GP5D,yes,yes,yes,yes,no,no,
GP6A,yes,no,yes,no,no,yes,
GP6B,yes,yes,no,yes,no,yes,
GP6C,yes,no,yes,yes,yes,yes,
GP7,yes,yes,yes,yes,yes,yes,
GP7A,yes,yes,yes,no,yes,no,
GP8A,yes,yes,no,yes,yes,no,
GP8B,yes,yes,yes,no,no,yes,
GP8C,yes,yes,yes,yes,yes,yes,
Horse,yes,yes,yes,yes,yes,yes,
Jimmy's,,,,,,,
Jimmy's Wet Meadow,yes,yes,yes,no,yes,yes,
Lamson Hill,no,no,no,yes,no,yes,
Lamson Middle,yes,no,yes,yes,no,yes,
Lamson North,no,no,no,no,no,yes,
Leo's,yes,no,yes,no,yes,yes,
Long Causeway,no,no,no,yes,no,yes,
Long Meadow,yes,yes,yes,yes,no,yes,
Lower Barberry,yes,yes,yes,yes,no,yes,
Lower Home,,,,,,,
Lower Sunset,,,,,,,
Lower Triangle,yes,no,yes,yes,no,yes,
Lower Underhill,yes,yes,yes,yes,yes,yes,
Plains,no,no,no,no,yes,yes,
Plains Woods North,yes,yes,yes,yes,yes,yes,
Playground,yes,no,yes,no,yes,yes,
Playground Pond,yes,yes,yes,yes,yes,yes,
Pond,yes,no,yes,yes,yes,yes,
POW East,,,,,,,
POW West,yes,no,yes,no,yes,no,
Railroad,,,,,,,
Sunset Field,yes,,yes,no,no,no,
Sunset Hill ,yes,no,no,yes,yes,yes,
Underhill,yes,yes,yes,yes,yes,yes,
Underhill Wet Meadow,yes,no,yes,yes,no,yes,
Upper Home,,,,,,,
Upper Triangle,yes,yes,yes,yes,yes,yes,
White Cottage,,,,,,,
Williams 1A,yes,no,yes,yes,no,yes,
Williams Central,yes,yes,no,yes,no,yes,
Williams West,yes,no,yes,no,yes,yes,
Wilson,yes,no,yes,yes,yes,yes,
