"","name_bore","Sample.YEAR","organic_matter","k"
"1","Briar",2024,5.450197816,35.4
"2","Broad Meadow Dry",2024,6.06671931,27.9
"3","Bull",2025,11,160
"4","Drainage",2024,6.310896429,42.2
"5","GP1A",2025,9.65,320
"6","GP1B",2023,6.3,42
"7","GP2A",2023,14.5,93
"8","GP2B",2024,6.683071066,108.5
"9","GP3",2025,9.4,271
"10","GP4C",2024,5.925480034,134.5
"11","GP5D",2024,6.692717301,87.6
"12","GP6A",2025,10.6,159
"13","GP6C",2024,5.072318234,53.7
"14","GP7",2025,11.2,117
"15","GP8B",2024,7.445288252,104.8
"16","Home",2024,4.839452689,114.7
"17","Horse",2024,5.976366541,121.7
"18","Jimmy's",2025,8.8,63
"19","Lamson Hill",2023,7.6,58
"20","Lamson Middle",2025,8.4,43
"21","Lamson North",2025,7.6,40
"22","Laundry Field",2022,4.846174497,43.5
"23","Leo's",2023,6.6,48
"24","Liatris",2022,4.814462686,17.4
"25","Lower Barberry",2023,10.8,52
"26","Lower Sunset",2024,6.388726152,57.2
"27","POW East",2025,9.6,48
"28","POW West",2025,8.8,56
"29","Patch 1",2021,4.568711044,180.7
"30","Patch 2",2021,4.034176742,189
"31","Patch 4",2021,4.03488498,177.6
"32","Patch Field",2024,4.066,123.53
"33","Plains",2024,5.4429,36.3
"34","Playground",2025,9.8,75
"35","Railroad",2024,4.508092742,110.4
"36","Sunset Field",2024,5.344457594,94.9
"37","Sunset Hill ",2023,6.5,138
"38","Underhill",2024,3.745,115.8
"39","Underhill East",2021,4.181963032,208
"40","Underhill West",2021,3.683932643,153.7
"41","Underhill Wet Meadow",2024,5.71664757,34.4
"42","Underhill Willows",2023,2.8,103
"43","Upper Triangle",2025,8,71
"44","White Cottage",2025,9.2,49
"45","Williams 1A",2023,6.1,57
"46","Williams West",2024,4.018453015,30.6
"47","Wilson",2024,5.446002766,60.4
