"","name_bore","p","Sample.YEAR"
"1","Briar",5.3,2024
"2","Broad Meadow Dry",2,2024
"3","Bull",2.8,2025
"4","Drainage",3.2,2024
"5","GP1AMainGate",4.3,2025
"6","GP1B",7.7,2023
"7","GP2A",2.9,2023
"8","GP2B",2.7,2024
"9","GP3",1.4,2024
"10","GP3N",5.5,2025
"11","GP4A",5.5,2025
"12","GP4C",2,2024
"13","GP5D",1.6,2024
"14","GP6A",1.2,2025
"15","GP6C",4,2024
"16","GP7",1.1,2025
"17","GP8B",2.8,2024
"18","Home",6.8,2024
"19","Horse",4.9,2024
"20","Jimmy's",5.2,2025
"21","Lamson Hill",5.3,2023
"22","Lamson Middle",26,2025
"23","Lamson North",10.8,2025
"24","Laundry Field",5.8,2022
"25","Leo's",2.8,2023
"26","Liatris",4.2,2021
"27","Lower Barberry",1.1,2023
"28","Lower Sunset",4.4,2024
"29","POW East",1.7,2025
"30","POW West",3.3,2025
"31","Patch 1",22.8,2021
"32","Patch 2",7.7,2021
"33","Patch 4",15,2021
"34","Patch Field",13.6333,2024
"35","Plains",5.85,2024
"36","Plains ",6.6,2021
"37","Playground",42.5,2025
"38","Railroad",4.9,2024
"39","Sunset Field",6.8,2024
"40","Sunset Hill ",4.7,2023
"41","Underhill",4.2,2024
"42","Underhill East",6.1,2024
"43","Underhill West",8.2,2021
"44","Underhill Wet Meadow",0.6,2023
"45","Underhill Willows",21.7,2023
"46","Upper Triangle",4.8,2025
"47","White Cottage",6.2,2025
"48","Williams 1A",3.2,2023
"49","Williams West",7.8,2024
"50","Wilson",2.6,2024
