name_bore,p,Sample YEAR
Bull,2.8,2025
GP1AMainGate,4.3,2025
GP4A,5.5,2025
GP3N,5.5,2025
GP6A,1.2,2025
GP7,1.1,2025
Jimmy's,5.2,2025
Lamson Middle,26,2025
Lamson North,10.8,2025
Playground,42.5,2025
POW East,1.7,2025
POW West,3.3,2025
Upper Triangle,4.8,2025
White Cottage,6.2,2025
Briar,5.3,2024
Broad Meadow Dry,2,2024
Drainage,3.2,2024
GP2B,2.7,2024
GP3,1.4,2024
GP4C,2,2024
GP5D,1.6,2024
GP6C,4,2024
GP7,3.5,2024
GP8B,2.8,2024
Home,6.8,2024
Horse,4.9,2024
Lamson Middle,5.4,2024
Lamson North,8.5,2024
Lower Sunset,4.4,2024
Patch Field,13.6333,2024
Plains,5.85,2024
Playground,16.8,2024
Railroad,4.9,2024
Sunset Field,6.8,2024
Underhill East,6.1,2024
Underhill,4.2,2024
Williams West,7.8,2024
Wilson,2.6,2024
Briar,4.4,2023
Broad Meadow Dry,0.7,2023
Drainage,0.9,2023
GP1B,7.7,2023
GP2A,2.9,2023
GP2B,0.9,2023
GP3,1.1,2023
GP4C,0.5,2023
GP5D,0.5,2023
GP6C,1.1,2023
GP7,0.9,2023
GP8B,1.9,2023
Lamson Hill,5.3,2023
Lamson Middle,4.3,2023
Lamson North,7.7,2023
Leo's,2.8,2023
Lower Barberry,1.1,2023
Lower Sunset,1.5,2023
Plains,8,2023
Plains,6.8,2023
Playground,13.6,2023
Sunset Field,1.8,2023
Sunset Hill ,4.7,2023
Underhill Wet Meadow,0.6,2023
Underhill Willows,21.7,2023
Williams 1A,3.2,2023
Williams West,5.4,2023
Wilson,0.9,2022
Laundry Field,5.8,2022
Liatris,4.2,2021
Broad Meadow Dry,2,2021
GP2B,2.8,2021
GP3,1.8,2021
GP4C,1.8,2021
GP5D,1.5,2021
GP6C,3.2,2021
GP7,2,2021
GP8B,3.1,2021
Home,10.3,2021
Lamson Middle,5.7,2021
Lamson North,8.5,2021
Lower Sunset,3.9,2021
Patch 1,22.8,2021
Patch 2,7.7,2021
Patch 4,15,2021
Plains ,6.6,2021
Plains ,3,2021
Railroad,6.5,2021
Underhill East,8.9,2021
Underhill West,8.2,2021
Underhill Wet Meadow,2.9,2021
Wilson,2.7,
